(105, '11', '2012', '2012Q11', '2veikl1yAPM?start=0', 'further-integration'),
(106, '8', '2013', '2013Q8', 'mrJLEImGoUM?start=0', 'further-integration'),
(107, '15', '2014', '2014Q15', '3Znfz26rrbk?start=0', 'further-integration'),
(108, '10', '2015', '2015Q10', 'OcVzHZP9UGg?start=0', 'further-integration'),
(109, '9', '2016', '2016Q9', 'H1G2Uj25KjM?start=0', 'further-integration'),
(110, '6', '2017', '2017Q6', 'y9Dbjnb9yzY?start=0', 'further-integration'),
(111, '15a', '2018', '2018Q15a', 'pY4yQzEvmmM?start=0', 'further-integration'),
(112, '10', '2007', '2007Q10', 'H4hYUGphb2E?start=0', 'integration'),
(113, '4', '2007', '2007Q4', 'dSubWteGbqQ?start=0', 'integration'),
(114, '10', '2008', '2008Q10', 'nyyLGBEwSgg?start=0', 'integration'),
(115, '9', '2008', '2008Q9', 'spXoywTyLgE?start=0', 'integration'),
(116, '4', '2008', '2008Q4', 'eVghdQ_7vIc?start=0', 'integration'),
(117, '7', '2009', '2009Q7', 'OzceC_eaY94?start=0', 'integration'),
(118, '5', '2009', '2009Q5', 'zgUsQztgn8g?start=0', 'integration'),
(119, '15', '2010', '2010Q15', 'muWDwtB6IF0?start=256', 'integration'),
(120, '11a', '2011', '2011Q11a', 'RvdPRAU_Irg?start=542', 'integration'),
(121, '1', '2011', '2011Q1', 'avhupPO6XlY?start=8', 'integration'),
(122, '8', '2012', '2012Q8', '_zo1JTiG4tA?start=0', 'integration'),
(123, '6', '2013', '2013Q6', 'vSph3QmgauM?start=0', 'integration'),
(124, '4', '2013', '2013Q4', 'qrOfEzizL0k?start=0', 'integration'),
(125, '12', '2014', '2014Q12', 'KqpBMhc-jrI?start=0', 'integration'),
(126, '10', '2014', '2014Q10', 'MRVmUJI8qTQ?start=0', 'integration'),
(127, '17', '2015', '2015Q17', 'tIHJi2lsEiA?start=0', 'integration'),
(128, '13', '2016', '2016Q13', 'gh4IwBDXeho?start=0', 'integration'),
(129, '16', '2017', '2017Q16', 'y2JhRiT_cmU?start=0', 'integration'),
(130, '8', '2018', '2018Q8', 'yzmV526Jd0c?start=0', 'integration'),
(131, '13', '2007', '2007Q13', 'PlIz6SBQCqY?start=0', 'further-differentiation'),
(132, '5', '2008', '2008Q5', 'N7PJ7LsMn0g?start=0', 'further-differentiation'),
(133, '2', '2008', '2008Q2', '4C2XlmMJEqM?start=0', 'further-differentiation'),
(134, '11', '2009', '2009Q11', 'wM1hmUWBTSA?start=0', 'further-differentiation'),
(135, '1b', '2009', '2009Q1b', 'ISffSjeepj8?start=190', 'further-differentiation'),
(136, '13', '2010', '2010Q13', '7_6Z0RGzRtM?start=1325', 'further-differentiation'),
(137, '3a', '2011', '2011Q3a', 'avhupPO6XlY?start=356', 'further-differentiation'),
(138, '13', '2012', '2012Q13', 's-WyHrtqQX0?start=0', 'further-differentiation'),
(139, '12', '2012', '2012Q12', 'PVH_1-Ye_SA?start=0', 'further-differentiation'),
(140, '11', '2013', '2013Q11', '575GpT2WkRE?start=0', 'further-differentiation'),
(141, '6', '2014', '2014Q6', 'LK7062rew8c?start=0', 'further-differentiation'),
(142, '4', '2014', '2014Q4', 'gVSByrvZahU?start=0', 'further-differentiation'),
(143, '1', '2014', '2014Q1', 'l9Zyif2wG_A?start=0', 'further-differentiation'),
(144, '8', '2015', '2015Q8', 'NlWKcEd4P5c?start=0', 'further-differentiation'),
(145, '6', '2015', '2015Q6', 'QZmHeZ4hT8s?start=0', 'further-differentiation'),
(146, '4', '2015', '2015Q4', '30gC41P56WU?start=0', 'further-differentiation'),
(147, '11', '2016', '2016Q11', 'Xe2ubLm4eLw?start=0', 'further-differentiation'),
(148, '1c', '2016', '2016Q1c', 'av88Cfg1IhQ?start=245', 'further-differentiation'),
(149, '18', '2017', '2017Q18', '9Ram5wv8O0I?start=0', 'further-differentiation'),
(150, '11', '2017', '2017Q11', 'aQ2VZjtIySs?start=0', 'further-differentiation'),
(151, '13', '2018', '2018Q13', 'YxSEoZy9qdA?start=0', 'further-differentiation'),
(152, '6', '2018', '2018Q6', 'MNHM8tKNz2s?start=0', 'further-differentiation'),
(153, '1c', '2018', '2018Q1c', 'ghqOOum12s0?start=168', 'further-differentiation'),
(154, '1a', '2018', '2018Q1a', 'ghqOOum12s0?start=0', 'further-differentiation'),
(155, '2', '2007', '2007Q2', 'mhJuZePRqxg?start=0', 'differentiation'),
(156, '15', '2008', '2008Q15', 'MZCIWyWxTxI?start=0', 'differentiation'),
(157, '10', '2008', '2008Q10', 'nyyLGBEwSgg?start=0', 'differentiation'),
(158, '1a', '2009', '2009Q1a', 'ISffSjeepj8?start=0', 'differentiation'),
(159, '1', '2010', '2010Q1', 'Lr1J2m2e1vQ?start=8', 'differentiation'),
(160, '7', '2011', '2011Q7', 'RvdPRAU_Irg?start=7', 'differentiation'),
